time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.492882893s seq=187 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.48844482s seq=188 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.492012593s seq=189 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.490607499s seq=190 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.490876896s seq=191 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.490959254s seq=192 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.487647695s seq=193 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.48749222s seq=194 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.492211389s seq=195 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.49045638s seq=196 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.497483549s seq=197 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.496095054s seq=198 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.487563903s seq=200 status_code=504
